"sciname","host","impact_type","impact_time","impact","dimension"
"Botryosphaeria dothidea",NA,"Productivity","past",NA,"species"
"Botryosphaeria dothidea",NA,"Reproduction","past","","species"
"Botryosphaeria dothidea",NA,"","future","decline","species"
"Diplodia africana",NA,"","past","Productivity","species"
"Botryosphaeria dothidea",NA,"","past","","species"
"Diplodia africana",NA,"","past","","species"
"Diplodia africana",NA,"","future","Decline","species"
"Botryosphaeria dothidea","Quercus, Pinus, other woody hosts","Decline","future","","species"
"Diplodia agrifolia","Quercus","Productivity","past","","species"
"Botryosphaeria dothidea","","","past","","species"
"Diplodia agrifolia","Quercus","Decline","future","","species"
"Diplodia corticola","Quercus","Productivity","past","","species"
"Diplodia agrifolia","Quercus","Susceptibility to other stressors","past","","species"
"Diplodia corticola","Quercus","Decline","future","","species"
"Diplodia quercivora","Quercus montana, Quercus spp.","Productivity","past","","species"
"Diplodia corticola","","","past","","species"
"Diplodia quercivora","Quercus","Decline","future","","species"
"Dothiorella iberica","Citrus, Persea, Pistacea, Prunus, Quercus, Vitis","Productivity","past","","species"
"Dothiorella iberica","Many woody hosts","Decline","past","","species"
"Lasiodiplodia theobromae","Ilex, Ficus, Pinus, Prunus, Quercus, Vitis, ","Reproduction","past","","species"
"Lasiodiplodia theobromae","","Productivity","past","","species"
"Lasiodiplodia theobromae","","","past","","species"
"Neofusicoccum arbuti","Arbutus","Decline","past","","species"
"Neofusicoccum mediterraneum","Sequoia, Sequoiadendron, Citrus, Eucalyptus, Ficus, Fraxinus, Juglans,Prunus,  Juniperus, Olea, Persea, Pistacea, ","Decline","past","","species"
"Neofusicoccum arbuti","","","past","","species"
"Neofusicoccum mediterraneum","Sequoia, Sequoiadendron, Citrus, Eucalyptus, Ficus, Fraxinus, Juglans,Prunus,  Juniperus, Olea, Persea, Pistacea, ","Decline","past","","species"
"Neofusicoccum mediterraneum","Sequoia, Sequoiadendron, Citrus, Eucalyptus, Ficus, Fraxinus, Juglans,Prunus,  Juniperus, Olea, Persea, Pistacea, ","Productivity","past","","species"
"Neofusicoccum parvum","any woody hosts: Citrus, Eucalyptus, Quercus, Pinus, Sequoia, Cacao, Vitis","Productivity","past","","species"
"Dothistroma septosporum","Pinus","Productivity","past","","species"
"Dothistroma septosporum","Pinus","Decline","past","","species"
"Lecanosticta acicola","Pinus","Productivity","past","","species"
"Dothistroma septosporum","Pinus","Decline","past","","species"
"Pseudocercospora thujina","Chamaecyparis lawsoniana, Thuja plicata","Productivity","past","","species"
"Venturia saliciperda","Salix","Productivity","past","","species"
"Stigmina lautii","Picea","Productivity","past","Hodges, C.S.. 2002. First Report of Stigmina lautii in the United States. Pl. Dis. 86:699","species"
"Botryosphaeria spp.","Many woody hosts","Structure","past","","community"
"","","","past","","community"
"Botryosphaeria spp.","Many woody hosts","Structure","past","","community"
"Botryosphaeria spp.","woody hosts","Composition","past","Impacts are similar for species and genera in the list below within the Botryosphaeria family","community"
"Botryosphaeria spp.","Many woody hosts","management costs","past","Impacts similar for species in this family","social"
"Mycosphaerellaceae","Conifers","Productivity","past","","species"
"Mycosphaerellaceae","Conifers","structure, composition","past","similar for species in this family","community"
"Mycosphaerellaceae","conifers","nutrient cycling, carbon, soil insolation","past","","ecosystem"
"Botryosphaeriaceae","many woody hosts","carbon, soil insolation","past","","ecosystem"
"Mycosphaerellaceae","conifers","economic, markets, management costs","past","impacts similar for species in this family loss of timber value","social"
